,Alt MAC,B cell,Cl MAC,Cl Mo,DCs cell,Int Mo,Mast cell,Neutrophils,NK cell,Non-Cl Mo,Tc,Th,T other,Treg
D084,0.0137254901960784,0.00196078431372549,0.472549019607843,0.115686274509804,0.00196078431372549,0.00392156862745098,0.0254901960784314,0.0627450980392157,0.0117647058823529,0.0372549019607843,0.0450980392156863,0.12156862745098,0.0666666666666667,0.0196078431372549
D085,0.0256286266924565,0.0846228239845261,0.232591876208897,0.0140232108317215,0.00918762088974855,0.0111218568665377,0.00386847195357834,0.00822050290135396,0.00725338491295938,0.0614119922630561,0.271760154738878,0.229690522243714,0.0140232108317215,0.0265957446808511
D086,0.0406852248394004,0.00428265524625268,0.383297644539615,0.0149892933618844,0,0,0.00428265524625268,0.0149892933618844,0.00214132762312634,0.00428265524625268,0.0856531049250535,0.364025695931477,0.0364025695931477,0.0449678800856531
D087,0.0298507462686567,0.136194029850746,0.332089552238806,0.00186567164179104,0.00932835820895522,0,0.0858208955223881,0.0317164179104478,0,0.0186567164179104,0.104477611940299,0.182835820895522,0.0335820895522388,0.0335820895522388
D088,0.0504466631634262,0.0215449290593799,0.201261166579086,0.0662112454019968,0.00788229111928534,0.0199684708355229,0.00630583289542827,0.108250131371519,0.00630583289542827,0.0294272201786653,0.194429847609038,0.202312138728324,0.0278507619548082,0.0578034682080925
D089,0.0204081632653061,0.00371057513914657,0.578849721706865,0.0686456400742115,0,0.00371057513914657,0.00185528756957328,0.00742115027829314,0.00927643784786642,0.00185528756957328,0.098330241187384,0.176252319109462,0.0222634508348794,0.00742115027829314
D090,0.0103448275862069,0.0379310344827586,0.541379310344828,0.00344827586206897,0,0,0,0.0517241379310345,0.0206896551724138,0.0379310344827586,0.0689655172413793,0.141379310344828,0.0862068965517241,0
D091,0.0375858330321648,0.325623418865197,0.0751716660643296,0.00361402240693892,0.00108420672208168,0,0.00180701120346946,0.0693892302132273,0.000361402240693892,0.00505963136971449,0.140946873870618,0.294181423924828,0.0292735814962053,0.0159016985905313
D092,0.0804676753782669,0.000687757909215956,0.139614855570839,0.0275103163686382,0,0.0116918844566713,0.00137551581843191,0.488995873452545,0.00137551581843191,0.00894085281980743,0.119669876203576,0.0894085281980743,0.00825309491059147,0.0220082530949106
D093,0.0476190476190476,0.00865800865800866,0.324675324675325,0.158008658008658,0,0.0281385281385281,0.00216450216450216,0.0735930735930736,0,0.0497835497835498,0.123376623376623,0.125541125541126,0.0541125541125541,0.00432900432900433
D094,0.0780632411067194,0.0385375494071146,0.219367588932806,0.0602766798418972,0.00197628458498024,0.0108695652173913,0.00395256916996047,0.137351778656126,0.00889328063241107,0.00988142292490119,0.0849802371541502,0.24901185770751,0.0296442687747036,0.0671936758893281
D095,0.0300196850393701,0.0137795275590551,0.267716535433071,0.13238188976378,0.000984251968503937,0.0684055118110236,0.00639763779527559,0.184055118110236,0,0.0634842519685039,0.0772637795275591,0.113681102362205,0.0388779527559055,0.00295275590551181
